fecha_opreal,hora_opreal,eolica,geotermica,hidraulica,solar,termica
2024-06-06,4,1503.2953034974,39.980000000000004,3030.5656119847,0.5069954101,4057.7868596928
2024-06-06,5,1424.0954549867001,39.96,3108.0300952045,0.1953998728,4154.5975467601
2024-06-06,6,1353.1359142456,39.900000000000006,3295.8951904989,0.8550382543999999,4165.8857893574
2024-06-06,7,1170.0404804075,39.81,3517.9506601116,2.5786570207,4844.7208523894
2024-06-06,8,1071.8475433959,39.589999999999996,3597.0297478446,220.8662401175,5249.9066401717
2024-06-06,9,1094.6822981264,39.29,2940.9603374221,2588.132700042,3710.8734676475
2024-06-06,10,1078.2776570588,38.540000000000006,2696.3914318575003,4306.1492581617,2629.4665242833003
2024-06-06,11,983.3047530517999,37.68,2668.416584182,4750.2502972059,2381.3353838826
2024-06-06,12,841.5037113951,37.53,2741.2375813494,4800.9924724895,2369.8188195556
2024-06-06,13,931.5895264281,36.39,2662.2860865247,4804.2290087288,2327.4732412293
2024-06-06,14,1207.4578000029,35.53,2584.3219075985,4720.6085079676,2221.6070445225
2024-06-06,15,1370.3296853101,34.73,2543.1860806208997,4533.9248978916,2367.3961867977
2024-06-06,16,1523.226129059,35.19,2576.5021140627,4229.5516044842,2621.965720367
2024-06-06,17,1523.1421016236,36.43,2726.2005597859998,3361.4735304592,3387.4532829936
2024-06-06,18,1643.2315599822,37.81,3520.2775760035,774.0812846234,4932.986446147
2024-06-06,19,1716.9872052307,38.57,3776.2248828587,104.13918943259999,5177.2353455735
2024-06-06,20,1833.2885000142999,38.69,3853.134293254,156.18369928660002,5132.3273906837
2024-06-06,21,1475.2387762377,39.79,4017.8111022851,199.1121714276,5166.9781783983
2024-06-06,22,1032.9065602207,41.07,4003.1094178238,183.12521355360002,5369.4047656543
2024-06-06,23,1041.8057987382,40.18,3931.6827446473,110.8372544268,5399.2807821501
2024-06-06,24,929.0765398719,40.61,3716.1272937686,7.1679135097,5430.8842644808
2024-06-07,1,812.6002735603,40.31,3411.9646291443,0.6025011262,5338.4506942382
2024-06-07,2,743.7442102279,39.870000000000005,3204.664229976,0.0025177692,5208.2201925761
2024-06-07,3,732.7602470495,40.0,3167.6010174178,0.0024144028,4966.7600647439
2024-06-07,4,593.0126009902,39.97,3240.2574883492002,0.0066843768,4871.0432160167
2024-06-07,5,528.2046320004999,39.94,3203.5915718227,0.4123519933,4890.6886724343
2024-06-07,6,578.2438584212,39.66,3202.5743215478,1.3448707615,4969.0999349813
2024-06-07,7,680.1845170670999,39.8,3344.3735085829,3.0472577278,5321.787434349
2024-06-07,8,701.4238717472,39.980000000000004,3625.6866723577,229.7320767207,5483.688639392
2024-06-07,9,796.5990265012999,39.230000000000004,2864.6941464482,2648.2236671841,4031.024713803
2024-06-07,10,640.0877864427,38.42,2822.9508962506,4313.3529391159,2873.1278737689
2024-06-07,11,537.3515210869,37.04,2547.2273123589,4992.3575335409,2632.9110070834
2024-06-07,12,531.3985289361,36.17,2476.5797270104,5076.0015951854,2499.3889725621
2024-06-07,13,632.9682478985,35.96,2383.8224009089,5122.741328912,2412.2475138424
2024-06-07,14,628.0123521573,35.230000000000004,2558.3381841546,4837.383910219,2440.309652243
2024-06-07,15,696.52131036,35.12,2564.1376639827,4724.2987534222,2546.1118161975
2024-06-07,16,731.8983182684,35.84,2601.1983837912,4472.8723378455,2683.6700169522
2024-06-07,17,770.3082902564,35.91,2677.5897028179,3310.2681082438,3524.1955989078
2024-06-07,18,705.6375439778001,36.69,3373.8144017086,708.2150405976,5146.3566643642
2024-06-07,19,583.2412702179,37.28,4038.8406656461,125.7261607937,5621.7463016161
2024-06-07,20,425.6936921278,38.43,4015.6424460797,216.4863290268,5700.586602267
2024-06-07,21,273.7526055936,38.57,4016.0860435585,212.4202182647,5839.020841543
2024-06-07,22,390.6569063531,39.3,3836.348276027,209.15115317559997,5730.4751879509
2024-06-07,23,495.3444497982,39.55,3910.8791486657,175.8607312839,5611.8044868655
2024-06-07,24,591.3038433247,39.839999999999996,3883.9520070796,54.999266668800004,5547.821430489
2024-06-08,1,818.8802802737,40.39,3541.9968034238,7.7024965966,5245.722503414
2024-06-08,2,1247.3922437898,40.15,3196.3011611271,0.0024540659,4617.8246525057
2024-06-08,3,1634.7160645445,39.93,3162.1792209443997,0.0023301924,3982.1361369897
2024-06-08,4,1890.7337339782,40.06,3039.3103873316,0.0040956728,3639.491356097
2024-06-08,5,1586.96601091,39.85,3169.8900372146,0.0731753618,3699.6964374278
2024-06-08,6,2026.637388855,39.980000000000004,3041.2375527699,0.6127805692,3412.6340633278
2024-06-08,7,2435.9959476929,40.010000000000005,3193.4945609081,1.0556910752,3011.6025960967
2024-06-08,8,2727.7120242311003,39.9,3119.0200541614,190.5812206736,2761.9380534068
2024-06-08,9,2659.4774605177,39.44,2409.503695005,1937.3462001832,1843.1399231830999
2024-06-08,10,2275.0355239867,39.05,2513.9262937188,3010.5504374106,1563.2587289589
2024-06-08,11,2294.7782128295,38.68,2371.1227307195,3648.707190779,1515.2840868933001
2024-06-08,12,2470.3925137941,36.75,2072.2587553013,3960.457638342,1483.1114993212
2024-06-08,13,2485.835137726,36.14,2009.1895062951,4047.3556830789,1443.8646348774
2024-06-08,14,2464.2487487488,35.75,2071.7811984023,3933.9732404113,1530.2487205403
2024-06-08,15,2503.8408677976,35.21,2055.5995835492,3799.2999664985,1573.6983678221
2024-06-08,16,2735.7624210511,36.230000000000004,2086.3219336987,3464.4527444065,1645.8946851097
2024-06-08,17,3153.6265476377,37.7,2424.7500151142,2542.9169211477,1834.912366796
2024-06-08,18,3256.1270321349,38.46,3675.8291000039,567.9199889626,2800.0291442572
2024-06-08,19,3131.5906810913,38.730000000000004,3955.0624011311,114.6827976922,3455.5835397619
2024-06-08,20,3391.6875649414,38.129999999999995,3413.5223861402,206.6003458153,3551.8098565151
2024-06-08,21,3201.9332956542003,38.239999999999995,3674.3703650352,220.1649213223,3335.8480572739
2024-06-08,22,2646.4103086547,38.57,3777.9933354219997,212.69252498140003,3644.37826162
2024-06-08,23,2306.7205957642,38.7,3804.8284314793,167.2421040255,3815.6378704638
2024-06-08,24,2295.1141266096,38.38,3896.4753652788,40.111355353600004,3720.4848496237
2024-06-09,1,1945.3996771316,38.57,3852.251912646,1.5023351214,3671.4055329721
2024-06-09,2,1736.9351915206,38.96,3729.7522534464,0.0022987603,3536.3173744048
2024-06-09,3,1570.2653869169,38.68,3667.5947880235,0.0024331404,3357.6515905573
2024-06-09,4,1384.8097137453,39.31,3670.48501652,0.0025140597,3325.4997182323
2024-06-09,5,1472.551699158,40.230000000000004,3309.7964866169,0.07271619099999999,3424.1234303543
2024-06-09,6,1612.6455303039,39.58,3238.0063758601,0.6732150519,3252.2745685298
2024-06-09,7,1538.3982576295,40.09,3467.9906997644,1.8706223519,3147.8620646153
2024-06-09,8,1427.1736950683,39.75,3475.6000115895,177.88394601640002,3047.9629358368
2024-06-09,9,1284.1829464113,39.43,2859.3228382355,1865.5882321926,1995.7803982152
2024-06-09,10,1283.1530176085,38.8,2581.1861344855,3051.9193837706002,1518.4139161593
2024-06-09,11,1386.5097541811,38.730000000000004,2326.9110711775,3834.3958184048,1447.125330871
2024-06-09,12,1300.67307964,38.260000000000005,2344.303275332,4292.314822316,1412.2062013728
2024-06-09,13,1318.4834448389,37.55,2605.4347661139,4256.4628418522,1441.5807295365
2024-06-09,14,1511.5994830712,37.35,2661.6421928026,4190.9986108428,1530.3766234862
2024-06-09,15,1779.8228366014,37.16,2405.1519528437,4167.8288860887,1731.2481434362999
2024-06-09,16,1880.39092321,37.08,2591.8886785383,3707.9715241882,1880.2176555446001
2024-06-09,17,1862.6033960877,37.18,3228.8869891801,2600.8430253505,2420.894508632
2024-06-09,18,1954.4559998248,38.65,3993.4658650095,555.7925463575,3993.5183464885
2024-06-09,19,1850.6237346265,39.28,4181.9281481569,218.9644510049,4569.3446721235005
2024-06-09,20,1523.462003311,39.68,4434.4955073067995,232.983365483,4709.6932285334
2024-06-09,21,1290.8632829285,39.339999999999996,4562.5540074536,228.0965556658,4745.7176810968
2024-06-09,22,1226.6495688477,39.61,4573.34778185,216.11176447600002,4635.8868416177
2024-06-09,23,1402.5886004637,40.07,4341.3091509049,127.5028541763,4451.8357154497
2024-06-09,24,1364.8555114212,39.36,4064.9005385782,34.9268276827,4311.2668543127
2024-06-10,1,1342.1653314132,39.34,3783.9280462952,1.002244926,4162.6556083080995
2024-06-10,2,1380.1876376952,39.18,3591.7520294807,0.0022660856000000004,3848.8998789261
2024-06-10,3,1251.8896521914,39.89,3556.8828783494,0.0021830756,3737.9981102353
2024-06-10,4,1196.433940155,40.04,3587.6733381427002,0.0031436238,3593.5815447667
2024-06-10,5,1263.4150545044,39.8,3610.0535395704,0.0819491683,3495.9668194187
2024-06-10,6,1310.2283485717,40.03,3706.614278858,0.3507950523,3494.8525001049
2024-06-10,7,1441.3506037599,39.98,3804.5950041113,1.4385331966,4018.4379880817
2024-06-10,8,1574.4020486298,39.629999999999995,4150.5748742383,157.0466542108,4163.4524297086
2024-06-10,9,1523.4496511231,39.46,3599.0798763732,2164.2455782266,3036.7836828835
2024-06-10,10,1603.4031996461,39.12,3466.1493073297,3568.0460373408,2240.0343018135
2024-06-10,11,1715.4098995054999,38.47,3138.7314951051,4087.7352882504,2189.390240317
2024-06-10,12,1551.9154941329,38.18,3178.3454432718,4261.3845932591,2238.2628540472
2024-06-10,13,1615.1345892640002,37.74,3019.0145716909,4310.5990798225,2277.8932631678
2024-06-10,14,1872.8299204408,37.29,2799.6559898736,4441.8423366069,2056.8447950279
2024-06-10,15,2022.5132027589,37.26,2934.3601683189,4391.1270956559,2032.0625746883
2024-06-10,16,1954.85231839,38.129999999999995,2991.2521440729,4128.1177290483,2256.8711010722
2024-06-10,17,1853.7407665138,38.96,3681.8035214636,2961.0211792929,2894.1147485871
2024-06-10,18,1836.80489563,39.11,4158.6559383501,658.6457520887,4676.3905510076
2024-06-10,19,1653.1649249575,39.14,4156.9439317112,56.6125209216,5236.2156524014
2024-06-10,20,1465.7616525573,39.14,4436.0779142292,176.00713246280003,5030.2245699332
2024-06-10,21,1411.4356375124,39.67,4454.4565768607,197.4265402899,4934.9690671701
2024-06-10,22,1219.5101266176,39.56,4592.6790319935,145.8665469239,4856.609588084
2024-06-10,23,1074.1687869112,39.620000000000005,4598.4683451621,103.14463574,4941.6951923477
2024-06-10,24,1008.4533993662,39.47,4522.6720855576,46.4918852896,4731.0828249562
2024-06-11,1,1337.3608801375,40.03,4218.9711238807,20.7042865228,4076.2263983186
2024-06-11,2,1425.183987391,39.32,3854.4508649857003,3.8102239611999997,3879.2302436915
