,Date,Almacenamiento_Bateria,BioGas,Biomasa,Carbon,Cogeneracion,Diesel,Eolica,Fuel Oil,Gas_Natural,Geotermica,PetCoke,Solar,Hidraulica
1020,2022-10-17,0.0,378.9954560547,3201.7101975862997,31740.81,895.45,2056.0129038797,23257.9628810074,0.0,34075.701095478,1165.35,1175.0,49713.5331654678,79956.9058580903
1021,2022-10-18,0.0,421.40525291430004,3130.7780924047,31004.809999999998,897.9200000000001,1503.6042868995,23473.2040003379,0.0,34342.3710152954,1140.37,1175.0,48481.7867153059,79251.01237932181
1022,2022-10-19,0.0,428.693423925,3032.1649905241998,32912.81,757.9300000000001,1591.2896832148,20524.8611337354,0.0,33229.7535660721,1155.26,1212.0,48373.0292817855,83019.8138913508
1023,2022-10-20,0.0,413.0778291692,3187.705213679,33270.18,900.62,2021.7079834653,22229.7058952052,0.0,29437.200114062398,1189.4,1227.0,48835.8392630156,83298.97081386129
1024,2022-10-21,0.0,424.0530090313,3302.7335016806,34711.34,530.9,2331.9202922229,25158.8118328774,0.0,24647.899938113,1195.13,1211.5,51927.8152343891,78291.7503228921
1025,2022-10-22,0.0,395.1408311426,3471.6752564503,33044.08,933.1800000000001,4770.2934828747,15403.4954593954,165.75,23297.6956395752,1188.78,1218.0,43658.7251739286,83593.949145296
1026,2022-10-23,0.0,406.0591135387,3790.1869601551,30208.78,945.39,2166.3153481452,17687.0277928328,0.0,24010.391328725,1170.98,1185.5,36800.1986499493,82856.8131608194
1027,2022-10-24,0.0,407.2231991828,3819.6380287246,35375.3,1790.05,1872.6021994847001,15708.4341108758,0.0,28006.030520531698,1157.93,1209.5,46038.9091523728,88627.3158415274
1028,2022-10-25,0.0,425.9230930165,2747.1036444092,35642.19,1661.25,2824.3107107220003,13878.7764601742,0.0,30095.5726577903,1156.5,1217.5,48939.402831719,87349.767185287
1029,2022-10-26,0.0,379.6156432151,3312.4924476932,28867.68,1663.42,1640.5078337915,28707.8721201554,0.0,33330.4476892669,1161.42,1177.5,44647.5432326649,81738.3569924423
1030,2022-10-27,0.0,352.6347207519,4289.3576769102,28188.89,1518.29,349.8278869568,22665.0476468166,0.0,34205.9644986688,1161.08,1180.5,47527.9201693256,85357.9754918042
1031,2022-10-28,0.0,402.4842582189,3994.8044018097,28171.27,1515.48,281.6151120593,31469.3731480505,0.0,32913.8096478349,1175.18,1185.0,42249.5837611498,86532.4138931619
1032,2022-10-29,0.0,341.6466113564,3885.0768831611,31592.12,1526.72,208.5076469039,28231.1849647978,0.0,29139.037196747,1181.27,1219.0,35378.0941732964,84388.5323582661
1033,2022-10-30,0.0,214.3296520304,3340.0509520191,41412.82,1371.26,1861.3178731386,29285.8951442325,0.0,20927.43,1194.95,1141.5,30898.1896471951,72697.6004430121
1034,2022-10-31,0.0,263.7355534781,3633.904,38614.0,1370.29,596.644627282,23971.2654005121,0.0,24587.7549281654,1190.23,994.5,33322.9143886711,77185.560201903
1035,2022-11-01,0.0,282.301325852,3474.632,33835.4,516.79,4057.6992576090997,23741.6199092416,0.0,24561.879889099102,1192.67,1018.5,32353.0011535915,83042.9504824046
1036,2022-11-02,0.0,349.70433915350003,3886.0107599118,39901.29,1313.96,7954.5588319777,9699.4488400234,0.0,30522.7799565383,1171.34,1089.0,40845.7076622695,89366.6954907199
1037,2022-11-03,0.0,302.4389125745,3675.3798448597,39624.2,532.5,3755.0682639368,7057.8765048434,0.0,36453.9942018828,1165.24,1087.5,42422.7930589411,90478.8907739171
1038,2022-11-04,0.0,384.9661710034,3827.4524911178,31509.42,533.33,1427.3719149314,6160.882068108,0.0,41640.269845511604,1184.47,1108.5,51479.980978984,91448.1039005936
1039,2022-11-05,0.0,393.2650686135,3488.9473496658,29310.67,1402.41,175.7685900178,15658.1472189263,0.0,30836.4012068681,1179.9,1178.5,46158.9003865104,87357.160821028
1040,2022-11-06,0.0,362.1696146115,3175.6912754539,25031.4,1398.43,1.0128387374999996,22938.0788807083,0.0,28238.3670649193,1180.68,1195.0,34712.2335023586,87953.5340585194
1041,2022-11-07,0.0,337.5241430573,1919.5124551181,30709.91174841,531.37,3140.7785931586,19104.0474174942,0.0,27854.9891538815,1168.14,1117.0,51289.397923532204,91091.8302930487
1042,2022-11-08,0.0,342.9660670457,2174.3413899926,33564.3,533.76,3538.0301368005,15650.6481343633,0.0,36269.0464420778,1171.46,1110.5,45551.8879960922,89594.7514793794
1043,2022-11-09,0.0,387.4834709416,2709.3845432662,33229.96,533.8,2655.3235330855,14823.8333679961,0.0,36981.9420302026,1192.35,1157.0,44526.479080149504,91914.0926042166
1044,2022-11-10,0.0,410.9821099051,2643.9129355571,30880.8433959,534.49,4971.6776314163,13579.0751634302,256.05,37711.7011533543,1112.82,1259.0,48866.2410631816,87904.052557836
1045,2022-11-11,0.0,479.6018547465,3567.046496166,34944.95,531.69,5771.9334352394,14356.6380718943,133.76,37659.4226854375,1156.1100000000001,1247.0,46108.9695530499,86266.350003852
1046,2022-11-12,0.0,410.6182113355,3509.0616911699,33724.8102916,531.87,3837.0224292835,17009.4178739475,0.0,30757.5956210347,1171.54,1235.0,44870.7388899516,82124.5729326351
1047,2022-11-13,0.0,349.7097161775,3454.9695751876,30089.079999999998,532.61,1018.5194388099001,26491.3882595305,0.0,25300.3285823937,1170.9,1199.5,45179.4573499688,71126.7904372209
1048,2022-11-14,0.0,342.1929367558,3897.1046956312,26125.04,969.57,2078.7064949301002,30119.8671715027,0.0,35395.0964097241,1159.99,1066.0,50803.5823611939,74510.8094361303
1049,2022-11-15,0.0,295.36072143030003,4039.8353034632,32510.23,966.21,4842.5458289202,18887.0465868378,11.86,40040.6046911254,1150.83,1062.5,53589.3679526348,77395.7859864535
1050,2022-11-16,0.0,353.7767508987,3743.4742222136,32951.53,967.5600000000001,1343.0011558349,19452.6973604444,4.43,36766.8998434006,1139.43,1143.0,53849.4171374327,84542.0003749739
1051,2022-11-17,0.0,132.3855525205,4187.6719684524,26590.91,972.51,163.1161614587,27239.1367068104,0.0,38664.8823159832,1142.94,1165.0,53151.4600673904,83320.8517391254
1052,2022-11-18,0.0,133.1766779378,4062.5008160678,24030.36,971.6,1890.0335283081,31251.8649922404,1.46,35052.077323712496,1148.24,1161.5,55253.6257346805,84109.99798523271
1053,2022-11-19,0.0,343.056439273,4245.8049120353,18795.02,972.82,146.543245049,39124.3094115495,15.11,33173.1791621881,1167.34,1157.5,47918.2652821574,76991.7084623873
1054,2022-11-20,0.0,342.3704613191,4046.3516609242997,17235.9,973.3,152.9926834004,34116.4893410673,0.0,32122.6136639253,1183.45,1149.0,44833.4784021146,70490.5476113088
1055,2022-11-21,0.0,344.1928000881,4470.6837772334,18621.74,900.27,656.3720307151,28956.189012043298,0.0,41699.0460413174,1140.05,1109.5,56065.2148081465,78267.68400082849
1056,2022-11-22,0.0,344.686519668,4443.4506955485,22547.2,1013.8,1557.6835819133998,22559.0468234009,0.0,46153.359365171804,996.0500000000001,1178.5,55200.9139706844,79336.4135903471
1057,2022-11-23,0.0,338.69474612470003,4214.4213113553,26945.18,534.5,2204.1914329341002,16455.7709687682,0.0,38753.1135090224,1004.44,1207.0,56839.4673684167,84230.4299520341
1058,2022-11-24,0.0,332.1251023403,4281.0014014007,29617.36,543.71,25.0149097668,24137.5887966612,17.599999999999998,37082.47,973.53,1194.0,48502.9050672593,86104.568291957
1059,2022-11-25,0.0,324.4226191544,4894.196704647,34568.31,894.64,1353.5979474838,23926.8869598505,0.0,34484.0936151171,983.1,1217.0,50657.7332479895,84127.0143115528
1060,2022-11-26,0.0,310.2038729401,4511.1976919862,32670.12,1007.52,2611.9460909173004,23322.3473279402,0.0,30001.8112803689,987.3000000000001,1231.5,50258.7850734203,79614.2428605428
1061,2022-11-27,0.0,321.519379911,4914.4679236902,28896.89,1019.03,2218.5043037216,13889.2490145188,0.0,30231.7720525379,1024.79,1235.0,47774.1845968869,81120.8758488541
1062,2022-11-28,0.0,381.5671916342,5428.4097381282,27457.79,1019.89,3187.4616191691002,10226.7313650851,0.0,40618.6110832231,1082.68,1235.5,55678.8998569571,88818.9476821133
1063,2022-11-29,0.0,385.6308644656,5289.5471846405,29648.8,1214.57,538.2493351997,17180.970983243602,0.0,45953.6653270339,1162.91,1222.5,49765.0610159514,84029.4276698027
1064,2022-11-30,0.0,384.9185950325,5820.3544066976,31405.36,938.75,2121.0246854821003,24197.4272226282,0.0,39443.776349407,1207.38,1215.0,54041.5650867214,74127.2058077802
